,ID,Type,Name,Genus,kingdom,phylum,class,order,family,Key
62,38,2,Pomphorynchus sp.,Pomphorynchus,Animalia,Acanthocephala,NA,NA,NA,Acanthocephala
63,39,2,Corynosoma strumosum,Corynosoma,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Acanthocephala
64,40,2,Echinorynchus sp.,Echinorynchus,Animalia,Acanthocephala,NA,NA,NA,Acanthocephala
65,41,2,Hymenolepis sp.,Hymenolepis,Animalia,Platyhelminthes,Acentrosomata,Cyclophyllidea,Hymenolepididae,Platyhelminthes
66,42,2,Spelotrema clariforma,Spelotrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
67,43,1,Lutra lutra,Lutra,Animalia,Chordata,Mammalia,NA,NA,Mammalia
68,44,1,Phalacrocorax carbo,Phalacrocorax,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Aves
69,45,1,Ardea cinera,Ardea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Aves
70,46,1,Cygnus olor,Cygnus,Animalia,Chordata,Aves,NA,NA,Aves
71,47,1,Tadorna tadorna,Tadorna,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aves
72,48,1,Anas penelope,Anas,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aves
73,49,1,Somateria mollissima,Somateria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aves
74,49,1,Somateria mollissima,Somateria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aves
75,50,1,Somateria mollissima,Somateria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aves
76,50,1,Somateria mollissima,Somateria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aves
77,51,1,Haematopus ostralegus,Haematopus,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Aves
78,52,1,Charadris hiaticula,Charadris,Animalia,Chordata,Aves,NA,NA,Aves
79,53,1,Pluvialis apricaria,Pluvialis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Aves
80,53,1,Pluvialis apricaria,Pluvialis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Aves
81,54,1,Pluvialis squtarola,Pluvialis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Aves
82,54,1,Pluvialis squtarola,Pluvialis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Aves
83,55,1,Vanellus vanellus,Vanellus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Aves
84,56,1,Calidris  alpinea,Calidris,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Aves
85,57,1,Limosa lapponica,Limosa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Aves
86,58,1,Numenius arquatus,Numenius,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Aves
87,59,1,Tringa totanus,Tringa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Aves
88,60,1,Arenaria interpres,Arenaria,Plantae,NA,NA,NA,NA,Plantae
89,61,1,Larus canus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
90,61,1,Larus canus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
91,61,1,Larus canus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
92,61,1,Larus canus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
93,62,1,Larus ridibundis,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
94,62,1,Larus ridibundis,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
95,62,1,Larus ridibundis,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
96,62,1,Larus ridibundis,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
97,63,1,Larus argentatus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
98,63,1,Larus argentatus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
99,63,1,Larus argentatus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
100,63,1,Larus argentatus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
101,64,1,Larus marinus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
102,64,1,Larus marinus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
103,64,1,Larus marinus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
104,64,1,Larus marinus,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
105,65,1,Sterna sandvicensis,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
106,65,1,Sterna sandvicensis,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
107,65,1,Sterna sandvicensis,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
108,66,1,Sterna hirundo,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
109,66,1,Sterna hirundo,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
110,66,1,Sterna hirundo,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
111,67,1,Sterna paradisaea,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
112,67,1,Sterna paradisaea,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
113,67,1,Sterna paradisaea,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Aves
114,68,1,Corvus frugilegus,Corvus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aves
115,68,1,Corvus frugilegus,Corvus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aves
116,69,1,Corvus corone,Corvus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aves
117,69,1,Corvus corone,Corvus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aves
118,70,1,Sprattus sprattus,Sprattus,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Teleostei
119,71,1,Clupea harengus,Clupea,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Teleostei
120,72,1,Anguilla anguilla,Anguilla,Animalia,Chordata,Teleostei,Anguilliformes,Anguillidae,Teleostei
121,73,1,Syngnathus rostellatus,Syngnathus,Animalia,Chordata,Teleostei,Gasterosteiformes,Syngnathidae,Teleostei
122,74,1,Pollachius virens,Pollachius,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Teleostei
123,75,1,Ciliata mustela,Ciliata,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Teleostei
124,76,1,Ammodytes tobianus,Ammodytes,Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Teleostei
125,77,1,Pholis gunnellus,Pholis,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Teleostei
126,78,1,Zoarces viviparus,Zoarces,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Teleostei
127,79,1,Pomatoschistus minutus,Pomatoschistus,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Teleostei
128,79,1,Pomatoschistus minutus,Pomatoschistus,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Teleostei
129,80,1,Pomatoschistus microps,Pomatoschistus,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Teleostei
130,80,1,Pomatoschistus microps,Pomatoschistus,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Teleostei
131,81,1,Myxocephalus scorpius,Myxocephalus,Animalia,Chordata,Teleostei,NA,NA,Teleostei
132,82,1,Agonus cataphractus,Agonus,Animalia,Chordata,Teleostei,Scorpaeniformes,Agonidae,Teleostei
133,83,1,Gasterosteus aculeatus,Gasterosteus,Animalia,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,Teleostei
134,84,1,Pleuronectes platessa,Pleuronectes,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Teleostei
135,85,1,Platichthys flesus,Platichthys,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Teleostei
136,85,1,Platichthys flesus,Platichthys,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Teleostei
137,86,1,Platichthys flesus,Platichthys,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Teleostei
138,86,1,Platichthys flesus,Platichthys,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Teleostei
139,87,1,Salmo trutta,Salmo,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Teleostei
140,88,1,Crangon crangon,Crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Malacostraca
141,88,1,Crangon crangon,Crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Malacostraca
142,89,1,Crangon crangon,Crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Malacostraca
143,89,1,Crangon crangon,Crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Malacostraca
144,90,1,Nereis diversicolor,Nereis,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Polychaeta
145,90,1,Nereis diversicolor,Nereis,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Polychaeta
146,91,1,Nereis virens,Nereis,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Polychaeta
147,91,1,Nereis virens,Nereis,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Polychaeta
148,92,1,Phyllodoce mucosa,Phyllodoce,Plantae,NA,Magnoliopsida,Ericales,Ericaceae,Magnoliopsida
149,93,1,Eteone longa,Eteone,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Polychaeta
150,94,1,Ostracods  ,Ostracods,Animalia,Arthropoda,NA,NA,NA,Arthropoda
151,95,1,Celanoid copepods ,Celanoid,Animalia,Arthropoda,NA,NA,NA,Arthropoda
152,96,1,Harpacticoid copepods ,Harpacticoid,Animalia,Arthropoda,NA,NA,NA,Arthropoda
153,97,1,Semibalanus balanoides,Semibalanus,Animalia,Arthropoda,Thecostraca,Sessilia,Archaeobalanidae,Thecostraca
154,98,1,Neomysis integer,Neomysis,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Malacostraca
155,99,1,Hyale nilssoni,Hyale,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalidae,Malacostraca
156,101,1,Corophium volutator,Corophium,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Malacostraca
